,name,z_cmb,m_b,dm_b
496,14984,0.18261,20.58185,0.1376
497,15132,0.15286,20.0024,0.10245
498,15171,0.13806,19.70325,0.10245
499,15201,0.2071,21.03995,0.18575
500,15203,0.20291,20.64165,0.1209
501,15222,0.19777,20.49105,0.129
502,15229,0.2223,20.9356,0.1392
503,15356,0.27307,21.30625,0.14505
504,15365,0.18628,20.52515,0.11385
505,15425,0.15933,19.83815,0.1054
506,15433,0.21911,20.8854,0.1261
507,15453,0.17354,20.4812,0.1283
508,15466,0.2441,20.96025,0.1449
509,15508,0.13366,19.59395,0.101
510,15584,0.28313,21.4441,0.13595
511,15648,0.17365,20.3284,0.1373
512,15674,0.1963,20.70795,0.1369
513,15704,0.36924,22.26255,0.14325
514,15872,0.20562,20.5658,0.12095
515,15897,0.17371,20.28215,0.12665
516,16069,0.12672,19.526,0.1097
517,16072,0.284,21.474,0.15145
518,16100,0.19358,20.5958,0.1361
519,16185,0.10036,18.95705,0.11145
520,16232,0.37386,22.3047,0.0854
521,16259,0.11787,19.35185,0.11365
522,16276,0.1919,20.5315,0.1404
523,16350,0.23657,21.01435,0.146
524,17171,0.15881,19.99615,0.1245
525,17186,0.07877,18.7576,0.11205
526,17208,0.13847,19.99935,0.13335
527,17223,0.23359,20.88475,0.1537
528,17253,0.1567,20.02475,0.15485
529,17258,0.08833,18.4809,0.11615
530,17280,0.12995,19.79635,0.12165
531,17332,0.18223,20.3359,0.12625
532,17340,0.25654,21.13985,0.14805
533,17435,0.21651,20.8123,0.13625
534,17605,0.14519,19.90865,0.1399
535,17629,0.13653,19.58645,0.1105
536,17801,0.20493,20.934,0.1568
537,18091,0.36939,22.04745,0.1558
538,18415,0.12924,19.61205,0.10875
539,18463,0.26658,21.33225,0.14765
540,18485,0.27805,21.3866,0.13915
541,18604,0.17461,20.5056,0.1317
542,18612,0.11376,19.1271,0.10675
543,18650,0.11229,19.38095,0.1026
544,18740,0.15333,19.8424,0.10465
545,18768,0.1965,20.7379,0.13845
546,18787,0.18914,20.88525,0.12885
547,18807,0.17708,20.47675,0.1273
548,19008,0.21731,20.7809,0.13945
549,19101,0.18542,20.33785,0.1283
550,19174,0.16382,20.0237,0.11915
551,19207,0.2569,21.34695,0.16715
552,19543,0.1218,19.58065,0.13445
553,19616,0.16514,20.09405,0.10665
554,19658,0.1984,20.6407,0.1317
555,19702,0.26828,21.39935,0.16265
556,19757,0.40078,22.165,0.1348
557,19940,0.14566,19.6731,0.12755
558,19968,0.05573,17.56165,0.10915
559,19992,0.22425,21.16495,0.15345
560,20040,0.28622,21.42305,0.15585
561,20048,0.18365,20.55265,0.14145
562,20064,0.1036,18.96075,0.10555
563,20106,0.33096,22.03,0.19055
564,20144,0.2184,20.76195,0.1415
565,20345,0.26327,21.035,0.1514
566,20430,0.16267,20.2483,0.1303
567,20625,0.10689,19.2184,0.10455
568,20764,0.16503,20.0849,0.11585
569,21034,0.10757,19.24475,0.10865
570,22075,0.12913,19.5083,0.1143
571,2001ah,0.05948,17.71775,0.12625
572,2001az,0.04093,17.0528,0.11665
573,2001da,0.01705,14.85645,0.1832
574,2001en,0.01531,14.59755,0.1613
575,2001fe,0.01472,14.6158,0.14905
576,2001gb,0.02673,15.97105,0.16165
577,2001G,0.01732,14.8718,0.1587
578,2001ic,0.04437,16.72085,0.19805
579,2001V,0.01567,14.4307,0.15405
580,2002bf,0.02477,15.6593,0.1718
581,2002bz,0.038,16.7664,0.13185
582,2002ck,0.0299,16.2413,0.123
583,2002cr,0.01012,13.90745,0.19825
584,2002de,0.0258,16.1648,0.1376
585,2002dp,0.01038,14.0496,0.2048
586,2002eu,0.03791,16.5851,0.2001
587,2002G,0.03507,16.45115,0.16785
588,2002ha,0.01268,14.4486,0.171
589,2002he,0.02525,15.82815,0.13295
590,2002kf,0.01908,15.3534,0.14115
591,2003ae,0.03489,16.36835,0.1667
592,2003ch,0.0295,16.3438,0.12735
593,2003cq,0.03416,16.57565,0.1563
594,2003fa,0.04067,16.7928,0.1127
595,2003hu,0.07515,17.8882,0.1248
596,2003ic,0.05581,17.23215,0.12285
597,2003it,0.02529,15.7896,0.1405
598,2003iv,0.03501,16.6581,0.12485
599,2003U,0.02846,16.0051,0.13405
600,2004as,0.0328,16.64085,0.12525
601,2004L,0.03378,16.38795,0.1403
602,2005hc,0.04597,17.2822,0.1025
603,2005hf,0.04341,16.93145,0.1209
604,2005hj,0.05684,17.73355,0.1203
605,2005ki,0.02024,15.2868,0.12735
606,2005lu,0.03191,16.59205,0.12775
607,2005lz,0.0415,16.9967,0.1259
608,2005mc,0.02639,15.93305,0.1399
609,2005ms,0.02651,16.06745,0.1248
610,2005na,0.02689,15.87545,0.126
611,2006ac,0.02349,15.6236,0.1338
612,2006ah,0.05067,17.57225,0.158
613,2006ak,0.04093,16.7302,0.1297
614,2006al,0.06877,18.16815,0.11055
615,2006ax,0.01754,14.9841,0.1341
616,2006bb,0.02557,15.8607,0.1496
617,2006bq,0.02189,15.53085,0.1381
618,2006bw,0.03155,16.1279,0.14115
619,2006cj,0.06845,18.31035,0.1248
620,2006cp,0.02249,15.56975,0.1391
621,2006cq,0.04949,17.32405,0.12545
622,2006en,0.03161,16.3736,0.12625
623,2006gr,0.03434,16.61295,0.1249
624,2006gt,0.04486,17.2055,0.14795
625,2006hb,0.01531,14.74935,0.1526
626,2006is,0.03048,16.25295,0.1342
627,2006je,0.03837,16.9021,0.16555
628,2006mo,0.03682,16.77055,0.12655
629,2006mp,0.0221,15.7795,0.13695
630,2006N,0.01402,14.64805,0.16195
631,2006oa,0.0589,17.792,0.11395
632,2006ob,0.05895,17.7707,0.10045
633,2006on,0.06888,18.1778,0.15105
